State,Year,Month,Week,Tested,Confirmed,Recovered,Deceased
"Andaman and Nicobar Islands",2020,April,"Week 1",0,70,0,0
"Andaman and Nicobar Islands",2020,April,"Week 2",0,77,60,0
"Andaman and Nicobar Islands",2020,April,"Week 3",7015,96,76,0
"Andaman and Nicobar Islands",2020,April,"Week 4",16539,201,81,0
"Andaman and Nicobar Islands",2020,April,"Week 5",5696,66,31,0
"Andaman and Nicobar Islands",2020,August,"Week 1",178671,6500,2114,86
"Andaman and Nicobar Islands",2020,August,"Week 2",192823,12353,5391,148
"Andaman and Nicobar Islands",2020,August,"Week 3",202410,17710,10011,204
"Andaman and Nicobar Islands",2020,August,"Week 4",217337,20570,15266,262
"Andaman and Nicobar Islands",2020,August,"Week 5",98566,9317,7752,135
"Andaman and Nicobar Islands",2020,December,"Week 1",952106,33190,32228,427
"Andaman and Nicobar Islands",2020,December,"Week 2",1036632,33607,32624,427
"Andaman and Nicobar Islands",2020,December,"Week 3",1127269,34065,32996,428
"Andaman and Nicobar Islands",2020,December,"Week 4",1217075,34367,33456,434
"Andaman and Nicobar Islands",2020,December,"Week 5",541710,14822,14457,186
"Andaman and Nicobar Islands",2020,July,"Week 1",117103,857,441,0
"Andaman and Nicobar Islands",2020,July,"Week 2",127796,1117,679,0
"Andaman and Nicobar Islands",2020,July,"Week 3",138227,1350,1005,0
"Andaman and Nicobar Islands",2020,July,"Week 4",153583,2029,1251,2
"Andaman and Nicobar Islands",2020,July,"Week 5",70870,1446,616,10
"Andaman and Nicobar Islands",2020,June,"Week 1",59572,231,231,0
"Andaman and Nicobar Islands",2020,June,"Week 2",72444,256,231,0
"Andaman and Nicobar Islands",2020,June,"Week 3",87872,316,241,0
"Andaman and Nicobar Islands",2020,June,"Week 4",100033,439,290,0
"Andaman and Nicobar Islands",2020,June,"Week 5",31119,187,90,0
"Andaman and Nicobar Islands",2020,March,"Week 4",0,16,0,0
"Andaman and Nicobar Islands",2020,March,"Week 5",0,29,0,0
"Andaman and Nicobar Islands",2020,May,"Week 1",26278,231,203,0
"Andaman and Nicobar Islands",2020,May,"Week 2",26278,231,231,0
"Andaman and Nicobar Islands",2020,May,"Week 3",44999,231,231,0
"Andaman and Nicobar Islands",2020,May,"Week 4",51746,231,231,0
"Andaman and Nicobar Islands",2020,May,"Week 5",22840,99,99,0
"Andaman and Nicobar Islands",2020,November,"Week 1",654571,30717,29135,420
"Andaman and Nicobar Islands",2020,November,"Week 2",716579,31436,29883,423
"Andaman and Nicobar Islands",2020,November,"Week 3",778778,32112,30651,427
"Andaman and Nicobar Islands",2020,November,"Week 4",852330,32710,31353,427
"Andaman and Nicobar Islands",2020,November,"Week 5",257301,9414,9087,122
"Andaman and Nicobar Islands",2020,October,"Week 1",435357,27204,25578,374
"Andaman and Nicobar Islands",2020,October,"Week 2",483522,28030,26287,385
"Andaman and Nicobar Islands",2020,October,"Week 3",526675,28760,27071,391
"Andaman and Nicobar Islands",2020,October,"Week 4",577376,29677,27888,405
"Andaman and Nicobar Islands",2020,October,"Week 5",262957,12954,12230,177
"Andaman and Nicobar Islands",2020,September,"Week 1",263914,22809,20010,340
"Andaman and Nicobar Islands",2020,September,"Week 2",305123,24401,22114,357
"Andaman and Nicobar Islands",2020,September,"Week 3",347676,25370,23811,364
"Andaman and Nicobar Islands",2020,September,"Week 4",384660,26277,24690,366
"Andaman and Nicobar Islands",2020,September,"Week 5",116898,7656,7195,106
"Andaman and Nicobar Islands",2021,April,"Week 1",2280978,35745,34969,434
"Andaman and Nicobar Islands",2021,April,"Week 2",2363877,36332,35315,435
"Andaman and Nicobar Islands",2021,April,"Week 3",2461502,37649,36269,446
"Andaman and Nicobar Islands",2021,April,"Week 4",2543255,39671,38232,461
"Andaman and Nicobar Islands",2021,April,"Week 5",739841,11824,11344,134
"Andaman and Nicobar Islands",2021,August,"Week 1",3122509,52785,51845,903
"Andaman and Nicobar Islands",2021,August,"Week 2",3185695,52832,51892,903
"Andaman and Nicobar Islands",2021,August,"Week 3",3258609,52862,51933,903
"Andaman and Nicobar Islands",2021,August,"Week 4",3352013,52916,51968,903
"Andaman and Nicobar Islands",2021,August,"Week 5",1466242,22695,22292,387
"Andaman and Nicobar Islands",2021,February,"Week 1",1610161,34974,34524,434
"Andaman and Nicobar Islands",2021,February,"Week 2",1693842,35051,34538,434
"Andaman and Nicobar Islands",2021,February,"Week 3",1775752,35092,34615,434
"Andaman and Nicobar Islands",2021,February,"Week 4",1851062,35118,34656,434
"Andaman and Nicobar Islands",2021,January,"Week 1",1302948,34645,33940,434
"Andaman and Nicobar Islands",2021,January,"Week 2",1367978,34752,34166,434
"Andaman and Nicobar Islands",2021,January,"Week 3",1436974,34903,34284,434
"Andaman and Nicobar Islands",2021,January,"Week 4",1503031,34954,34402,434
"Andaman and Nicobar Islands",2021,January,"Week 5",665497,14982,14783,186
"Andaman and Nicobar Islands",2021,July,"Week 1",2893157,52364,51327,896
"Andaman and Nicobar Islands",2021,July,"Week 2",2935455,52456,51479,901
"Andaman and Nicobar Islands",2021,July,"Week 3",2984766,52577,51557,903
"Andaman and Nicobar Islands",2021,July,"Week 4",3036594,52695,51694,903
"Andaman and Nicobar Islands",2021,July,"Week 5",1318965,22606,22193,387
"Andaman and Nicobar Islands",2021,June,"Week 1",2724489,49574,47880,844
"Andaman and Nicobar Islands",2021,June,"Week 2",2762931,50525,48899,878
"Andaman and Nicobar Islands",2021,June,"Week 3",2801991,51499,49890,888
"Andaman and Nicobar Islands",2021,June,"Week 4",2841431,52107,50681,890
"Andaman and Nicobar Islands",2021,June,"Week 5",819102,14933,14604,256
"Andaman and Nicobar Islands",2021,March,"Week 1",1923800,35158,34673,434
"Andaman and Nicobar Islands",2021,March,"Week 2",2007419,35200,34724,434
"Andaman and Nicobar Islands",2021,March,"Week 3",2094251,35249,34776,434
"Andaman and Nicobar Islands",2021,March,"Week 4",2174965,35294,34813,434
"Andaman and Nicobar Islands",2021,March,"Week 5",955383,15216,14928,186
"Andaman and Nicobar Islands",2021,May,"Week 1",2619973,43250,41216,492
"Andaman and Nicobar Islands",2021,May,"Week 2",2643687,45054,43031,555
"Andaman and Nicobar Islands",2021,May,"Week 3",2663484,46739,44441,643
"Andaman and Nicobar Islands",2021,May,"Week 4",2686764,48149,45747,744
"Andaman and Nicobar Islands",2021,May,"Week 5",1158165,20953,20062,342
"Andaman and Nicobar Islands",2021,October,"Week 1",3915362,53372,52403,903
"Andaman and Nicobar Islands",2021,October,"Week 2",3994437,53440,52469,903
"Andaman and Nicobar Islands",2021,October,"Week 3",4063738,53504,52546,903
"Andaman and Nicobar Islands",2021,October,"Week 4",4132081,53539,52596,903
"Andaman and Nicobar Islands",2021,October,"Week 5",1790087,22953,22553,387
"Andaman and Nicobar Islands",2021,September,"Week 1",3487549,52992,52041,903
"Andaman and Nicobar Islands",2021,September,"Week 2",3582697,53070,52104,903
"Andaman and Nicobar Islands",2021,September,"Week 3",3691455,53190,52186,903
"Andaman and Nicobar Islands",2021,September,"Week 4",3804287,53323,52316,903
"Andaman and Nicobar Islands",2021,September,"Week 5",1102385,15241,14965,258
"Andhra Pradesh",2020,April,"Week 1",10800,1489,23,10
"Andhra Pradesh",2020,April,"Week 2",43150,2840,76,47
"Andhra Pradesh",2020,April,"Week 3",166979,4360,370,117
"Andhra Pradesh",2020,April,"Week 4",428067,7210,1301,204
"Andhra Pradesh",2020,April,"Week 5",182619,2735,608,62
"Andhra Pradesh",2020,August,"Week 1",15261221,1242102,681485,11298
"Andhra Pradesh",2020,August,"Week 2",18152332,1716347,1081764,15443
"Andhra Pradesh",2020,August,"Week 3",20764272,2150855,1525397,19763
"Andhra Pradesh",2020,August,"Week 4",23518718,2610853,1945479,24187
"Andhra Pradesh",2020,August,"Week 5",10992679,1273702,964967,11649
"Andhra Pradesh",2020,December,"Week 1",72013813,6094477,6000132,49128
"Andhra Pradesh",2020,December,"Week 2",74889499,6121198,6035914,49351
"Andhra Pradesh",2020,December,"Week 3",77896998,6144249,6064291,49498
"Andhra Pradesh",2020,December,"Week 4",80631286,6162608,6086664,49631
"Andhra Pradesh",2020,December,"Week 5",35298662,2645833,2614620,21312
"Andhra Pradesh",2020,July,"Week 1",6920408,125895,57028,1538
"Andhra Pradesh",2020,July,"Week 2",7946919,192020,100185,2243
"Andhra Pradesh",2020,July,"Week 3",9054044,320792,152524,4160
"Andhra Pradesh",2020,July,"Week 4",11146563,615897,301353,6904
"Andhra Pradesh",2020,July,"Week 5",5661862,391880,179294,3843
"Andhra Pradesh",2020,June,"Week 1",2910405,28919,17655,488
"Andhra Pradesh",2020,June,"Week 2",3571536,38017,20899,556
"Andhra Pradesh",2020,June,"Week 3",4320743,53085,26634,659
"Andhra Pradesh",2020,June,"Week 4",5376854,77293,35378,967
"Andhra Pradesh",2020,June,"Week 5",1762266,28486,12743,367
"Andhra Pradesh",2020,March,"Week 2",0,3,0,0
"Andhra Pradesh",2020,March,"Week 3",0,15,0,0
"Andhra Pradesh",2020,March,"Week 4",0,74,0,0
"Andhra Pradesh",2020,March,"Week 5",0,88,3,0
"Andhra Pradesh",2020,May,"Week 1",875156,11548,3954,240
"Andhra Pradesh",2020,May,"Week 2",1280151,14246,7042,316
"Andhra Pradesh",2020,May,"Week 3",1728515,17128,10603,356
"Andhra Pradesh",2020,May,"Week 4",2193308,20392,13458,397
"Andhra Pradesh",2020,May,"Week 5",1090000,10362,6863,182
"Andhra Pradesh",2020,November,"Week 1",58431187,5832833,5631173,47207
"Andhra Pradesh",2020,November,"Week 2",62108036,5935506,5742346,47773
"Andhra Pradesh",2020,November,"Week 3",65376273,6002064,5837565,48295
"Andhra Pradesh",2020,November,"Week 4",68523478,6052694,5914300,48731
"Andhra Pradesh",2020,November,"Week 5",20074980,1735747,1705530,13980
"Andhra Pradesh",2020,October,"Week 1",42591870,5026541,4608907,41848
"Andhra Pradesh",2020,October,"Week 2",45939953,5280816,4919493,43571
"Andhra Pradesh",2020,October,"Week 3",49419089,5478153,5179698,45016
"Andhra Pradesh",2020,October,"Week 4",52941305,5644175,5389081,46095
"Andhra Pradesh",2020,October,"Week 5",23838224,2461592,2365210,20025
"Andhra Pradesh",2020,September,"Week 1",27807049,3334855,2596395,29905
"Andhra Pradesh",2020,September,"Week 2",31167725,3829768,3124785,33405
"Andhra Pradesh",2020,September,"Week 3",34680704,4262744,3635737,36638
"Andhra Pradesh",2020,September,"Week 4",38148370,4627261,4115370,39247
"Andhra Pradesh",2020,September,"Week 5",11541310,1380835,1251347,11608
"Andhra Pradesh",2021,April,"Week 1",106459360,6354649,6231505,50675
"Andhra Pradesh",2021,April,"Week 2",108022991,6480341,6280929,51109
"Andhra Pradesh",2021,April,"Week 3",109759160,6739548,6372998,51943
"Andhra Pradesh",2021,April,"Week 4",112071810,7229036,6560642,53828
"Andhra Pradesh",2021,April,"Week 5",32694226,2186026,1932968,15920
"Andhra Pradesh",2021,August,"Week 1",174081734,13818769,13581396,94148
"Andhra Pradesh",2021,August,"Week 2",177712139,13910019,13682491,95067
"Andhra Pradesh",2021,August,"Week 3",180883241,13980970,13771474,95777
"Andhra Pradesh",2021,August,"Week 4",183917105,14044004,13846732,96347
"Andhra Pradesh",2021,August,"Week 5",79742131,6039240,5952986,41520
"Andhra Pradesh",2021,February,"Week 1",92739989,6217229,6159288,50100
"Andhra Pradesh",2021,February,"Week 2",94186052,6220780,6164729,50128
"Andhra Pradesh",2021,February,"Week 3",95510756,6223609,6169071,50158
"Andhra Pradesh",2021,February,"Week 4",96920283,6227232,6172655,50178
"Andhra Pradesh",2021,January,"Week 1",84115528,6183388,6112362,49825
"Andhra Pradesh",2021,January,"Week 2",86499938,6195419,6127935,49920
"Andhra Pradesh",2021,January,"Week 3",88308432,6202805,6140206,49985
"Andhra Pradesh",2021,January,"Week 4",90329899,6209675,6149722,50043
"Andhra Pradesh",2021,January,"Week 5",39288793,2663147,2637814,21458
"Andhra Pradesh",2021,July,"Week 1",156461772,13317162,12981046,89869
"Andhra Pradesh",2021,July,"Week 2",160779851,13455475,13164504,91017
"Andhra Pradesh",2021,July,"Week 3",165047419,13576468,13313033,91954
"Andhra Pradesh",2021,July,"Week 4",168840900,13680475,13432934,92806
"Andhra Pradesh",2021,July,"Week 5",73450504,5892341,5788621,40063
"Andhra Pradesh",2021,June,"Week 1",137308206,12160024,11151694,79069
"Andhra Pradesh",2021,June,"Week 2",141700960,12562096,11815556,82733
"Andhra Pradesh",2021,June,"Week 3",146564926,12867693,12311678,85503
"Andhra Pradesh",2021,June,"Week 4",150807667,13095470,12672081,87681
"Andhra Pradesh",2021,June,"Week 5",43889540,3775229,3671440,25377
"Andhra Pradesh",2021,March,"Week 1",98694596,6232275,6176062,50198
"Andhra Pradesh",2021,March,"Week 2",100801840,6238644,6180226,50254
"Andhra Pradesh",2021,March,"Week 3",102508036,6249625,6186627,50307
"Andhra Pradesh",2021,March,"Week 4",104158171,6273068,6197008,50393
"Andhra Pradesh",2021,March,"Week 5",45156758,2702606,2660910,21640
"Andhra Pradesh",2021,May,"Week 1",117815142,8293938,7110923,58024
"Andhra Pradesh",2021,May,"Week 2",122672412,9278539,7851597,62250
"Andhra Pradesh",2021,May,"Week 3",127065125,10337988,8801910,67094
"Andhra Pradesh",2021,May,"Week 4",131342481,11274746,9821503,72290
"Andhra Pradesh",2021,May,"Week 5",57517758,5049969,4524257,32500
"Andhra Pradesh",2021,October,"Week 1",199368171,14372918,14205171,99476
"Andhra Pradesh",2021,October,"Week 2",201400693,14403210,14251597,99832
"Andhra Pradesh",2021,October,"Week 3",203179696,14426424,14285134,100181
"Andhra Pradesh",2021,October,"Week 4",205063824,14447783,14312606,100450
"Andhra Pradesh",2021,October,"Week 5",88441611,6198231,6141281,43109
"Andhra Pradesh",2021,September,"Week 1",188073188,14136515,13936070,97305
"Andhra Pradesh",2021,September,"Week 2",190871772,14199898,13998416,97898
"Andhra Pradesh",2021,September,"Week 3",193558944,14260664,14060487,98424
"Andhra Pradesh",2021,September,"Week 4",196218240,14317994,14127388,98876
"Andhra Pradesh",2021,September,"Week 5",56529354,4099638,4048141,28339
"Arunachal Pradesh",2020,April,"Week 1",0,6,0,0
"Arunachal Pradesh",2020,April,"Week 2",486,7,0,0
"Arunachal Pradesh",2020,April,"Week 3",2594,7,7,0
"Arunachal Pradesh",2020,April,"Week 4",3806,7,7,0
"Arunachal Pradesh",2020,April,"Week 5",1356,2,2,0
"Arunachal Pradesh",2020,August,"Week 1",656574,12772,7914,21
"Arunachal Pradesh",2020,August,"Week 2",790188,16379,11265,24
"Arunachal Pradesh",2020,August,"Week 3",913225,20117,13661,35
"Arunachal Pradesh",2020,August,"Week 4",1048161,24143,17353,37
"Arunachal Pradesh",2020,August,"Week 5",493664,12023,8461,21
"Arunachal Pradesh",2020,December,"Week 1",2540326,114525,108869,382
"Arunachal Pradesh",2020,December,"Week 2",2574658,115427,111918,385
"Arunachal Pradesh",2020,December,"Week 3",2602745,116252,114206,386
"Arunachal Pradesh",2020,December,"Week 4",2627122,116754,115173,392
"Arunachal Pradesh",2020,December,"Week 5",1132928,50139,49651,168
"Arunachal Pradesh",2020,July,"Week 1",185307,1753,563,9
"Arunachal Pradesh",2020,July,"Week 2",216587,2474,910,16
"Arunachal Pradesh",2020,July,"Week 3",266054,4681,1625,21
"Arunachal Pradesh",2020,July,"Week 4",396438,7849,3164,21
"Arunachal Pradesh",2020,July,"Week 5",232234,4485,2422,9
"Arunachal Pradesh",2020,June,"Week 1",70990,257,7,0
"Arunachal Pradesh",2020,June,"Week 2",94064,492,28,0
"Arunachal Pradesh",2020,June,"Week 3",120554,809,85,0
"Arunachal Pradesh",2020,June,"Week 4",149933,1171,303,5
"Arunachal Pradesh",2020,June,"Week 5",47946,378,123,2
"Arunachal Pradesh",2020,May,"Week 1",6280,7,7,0
"Arunachal Pradesh",2020,May,"Week 2",14269,7,7,0
"Arunachal Pradesh",2020,May,"Week 3",25652,7,7,0
"Arunachal Pradesh",2020,May,"Week 4",41214,13,7,0
"Arunachal Pradesh",2020,May,"Week 5",23788,11,3,0
"Arunachal Pradesh",2020,November,"Week 1",2279985,106080,94194,291
"Arunachal Pradesh",2020,November,"Week 2",2363871,109409,98978,326
"Arunachal Pradesh",2020,November,"Week 3",2424680,111543,103054,339
"Arunachal Pradesh",2020,November,"Week 4",2479997,113168,106078,346
"Arunachal Pradesh",2020,November,"Week 5",717417,32551,30775,108
"Arunachal Pradesh",2020,October,"Week 1",1808470,74266,53333,130
"Arunachal Pradesh",2020,October,"Week 2",1928900,85080,64493,173
"Arunachal Pradesh",2020,October,"Week 3",2053785,94226,73841,212
"Arunachal Pradesh",2020,October,"Week 4",2152370,100120,83711,238
"Arunachal Pradesh",2020,October,"Week 5",949861,44272,38359,111
"Arunachal Pradesh",2020,September,"Week 1",1258692,33015,22950,54
"Arunachal Pradesh",2020,September,"Week 2",1402039,40822,28923,68
"Arunachal Pradesh",2020,September,"Week 3",1527587,49244,35849,91
"Arunachal Pradesh",2020,September,"Week 4",1649793,60269,43466,99
"Arunachal Pradesh",2020,September,"Week 5",494227,19349,13633,32
"Arunachal Pradesh",2021,April,"Week 1",2903233,117954,117499,392
"Arunachal Pradesh",2021,April,"Week 2",2920201,118210,117531,392
"Arunachal Pradesh",2021,April,"Week 3",2946988,119173,117719,392
"Arunachal Pradesh",2021,April,"Week 4",3060964,123614,118741,400
"Arunachal Pradesh",2021,April,"Week 5",904449,36675,34219,118
"Arunachal Pradesh",2021,August,"Week 1",6704988,343937,319286,1648
"Arunachal Pradesh",2021,August,"Week 2",6930671,355252,336389,1742
"Arunachal Pradesh",2021,August,"Week 3",7108390,362443,349044,1779
"Arunachal Pradesh",2021,August,"Week 4",7272869,367681,357829,1816
"Arunachal Pradesh",2021,August,"Week 5",3167303,158861,155352,780
"Arunachal Pradesh",2021,February,"Week 1",2761487,117804,117352,392
"Arunachal Pradesh",2021,February,"Week 2",2792258,117821,117399,392
"Arunachal Pradesh",2021,February,"Week 3",2816910,117843,117422,392
"Arunachal Pradesh",2021,February,"Week 4",2834752,117852,117441,392
"Arunachal Pradesh",2021,January,"Week 1",2661211,117173,116163,392
"Arunachal Pradesh",2021,January,"Week 2",2689384,117443,116594,392
"Arunachal Pradesh",2021,January,"Week 3",2713843,117679,116910,392
"Arunachal Pradesh",2021,January,"Week 4",2731218,117746,117203,392
"Arunachal Pradesh",2021,January,"Week 5",1176176,50483,50275,168
"Arunachal Pradesh",2021,July,"Week 1",5498906,260475,237807,1249
"Arunachal Pradesh",2021,July,"Week 2",5759562,279623,251717,1327
"Arunachal Pradesh",2021,July,"Week 3",6021393,300475,269115,1409
"Arunachal Pradesh",2021,July,"Week 4",6320091,321765,289860,1512
"Arunachal Pradesh",2021,July,"Week 5",2800146,143455,130427,680
"Arunachal Pradesh",2021,June,"Week 1",4308819,200973,174078,848
"Arunachal Pradesh",2021,June,"Week 2",4639861,215667,192683,964
"Arunachal Pradesh",2021,June,"Week 3",4933764,228680,208950,1104
"Arunachal Pradesh",2021,June,"Week 4",5193183,241200,222231,1148
"Arunachal Pradesh",2021,June,"Week 5",1526998,71428,65639,340
"Arunachal Pradesh",2021,March,"Week 1",2851192,117868,117460,392
"Arunachal Pradesh",2021,March,"Week 2",2865733,117878,117462,392
"Arunachal Pradesh",2021,March,"Week 3",2877944,117890,117481,392
"Arunachal Pradesh",2021,March,"Week 4",2889265,117901,117493,392
"Arunachal Pradesh",2021,March,"Week 5",1241321,50535,50355,168
"Arunachal Pradesh",2021,May,"Week 1",3270737,134372,122470,414
"Arunachal Pradesh",2021,May,"Week 2",3423094,144493,129746,470
"Arunachal Pradesh",2021,May,"Week 3",3585248,157503,139415,601
"Arunachal Pradesh",2021,May,"Week 4",3831379,175048,150987,726
"Arunachal Pradesh",2021,May,"Week 5",1742255,81000,69200,344
"Arunachal Pradesh",2021,October,"Week 1",8068416,383277,378420,1943
"Arunachal Pradesh",2021,October,"Week 2",8151064,384424,380630,1960
"Arunachal Pradesh",2021,October,"Week 3",8214861,385084,382063,1960
"Arunachal Pradesh",2021,October,"Week 4",8271426,385726,382846,1960
"Arunachal Pradesh",2021,October,"Week 5",3555032,165452,164294,840
"Arunachal Pradesh",2021,September,"Week 1",7498442,372997,365958,1846
"Arunachal Pradesh",2021,September,"Week 2",7644528,375939,370097,1888
"Arunachal Pradesh",2021,September,"Week 3",7798517,378407,373216,1900
"Arunachal Pradesh",2021,September,"Week 4",7935143,380382,375854,1916
"Arunachal Pradesh",2021,September,"Week 5",2288678,109198,107787,552
Assam,2020,April,"Week 1",5772,161,0,0
Assam,2020,April,"Week 2",17565,210,0,5
Assam,2020,April,"Week 3",31848,243,83,7
Assam,2020,April,"Week 4",48924,253,157,7
Assam,2020,April,"Week 5",19040,81,58,2
Assam,2020,August,"Week 1",7524919,336831,243607,809
Assam,2020,August,"Week 2",10314875,457996,319867,1096
Assam,2020,August,"Week 3",12712197,572585,412600,1432
Assam,2020,August,"Week 4",14287383,664371,523791,1826
Assam,2020,August,"Week 5",6664483,318611,251898,891
Assam,2020,December,"Week 1",37932760,1494356,1462681,6913
Assam,2020,December,"Week 2",39058116,1500965,1469310,6999
Assam,2020,December,"Week 3",40147152,1506650,1474831,7081
Assam,2020,December,"Week 4",41109761,1510722,1479573,7229
Assam,2020,December,"Week 5",17921924,648413,635462,3128
Assam,2020,July,"Week 1",3152775,76790,48717,98
Assam,2020,July,"Week 2",3749170,113525,72637,241
Assam,2020,July,"Week 3",4449415,161115,106870,381
Assam,2020,July,"Week 4",5293449,218300,160932,542
Assam,2020,July,"Week 5",2634509,114974,87272,284
Assam,2020,June,"Week 1",922187,14393,3233,28
Assam,2020,June,"Week 2",1238388,24318,9916,45
Assam,2020,June,"Week 3",1746151,34268,19785,60
Assam,2020,June,"Week 4",2435190,46420,29474,66
Assam,2020,June,"Week 5",811607,16203,10982,23
Assam,2020,March,"Week 5",0,1,0,0
Assam,2020,May,"Week 1",85867,317,235,7
Assam,2020,May,"Week 2",136606,482,265,14
Assam,2020,May,"Week 3",271658,958,312,22
Assam,2020,May,"Week 4",470631,3863,488,28
Assam,2020,May,"Week 5",302744,3615,476,12
Assam,2020,November,"Week 1",33287308,1453681,1391852,6543
Assam,2020,November,"Week 2",34466523,1467005,1422984,6672
Assam,2020,November,"Week 3",35455202,1475954,1445803,6775
Assam,2020,November,"Week 4",36461695,1484029,1454485,6841
Assam,2020,November,"Week 5",10605695,425393,416676,1962
Assam,2020,October,"Week 1",25536964,1304681,1065573,5239
Assam,2020,October,"Week 2",27489059,1361286,1150826,5713
Assam,2020,October,"Week 3",30359845,1406085,1206052,6077
Assam,2020,October,"Week 4",31632000,1429541,1298170,6343
Assam,2020,October,"Week 5",13895801,618001,584287,2779
Assam,2020,September,"Week 1",16979245,844192,649995,2395
Assam,2020,September,"Week 2",18642681,964433,757846,3022
Assam,2020,September,"Week 3",20101174,1070204,863563,3759
Assam,2020,September,"Week 4",21606948,1170564,956090,4376
Assam,2020,September,"Week 5",6898080,358032,289614,1377
Assam,2021,April,"Week 1",50991373,1530873,1509212,7761
Assam,2021,April,"Week 2",52727912,1543337,1511801,7821
Assam,2021,April,"Week 3",55019802,1576011,1517838,7951
Assam,2021,April,"Week 4",58007567,1669063,1538844,8421
Assam,2021,April,"Week 5",17137631,503049,450837,2588
Assam,2021,August,"Week 1",134104661,3992831,3870447,37274
Assam,2021,August,"Week 2",139667570,4038695,3926423,38049
Assam,2021,August,"Week 3",144435009,4074297,3975312,38690
Assam,2021,August,"Week 4",148509810,4104039,4010024,39251
Assam,2021,August,"Week 5",64768435,1766600,1728735,16955
Assam,2021,February,"Week 1",45701618,1520281,1500524,7585
Assam,2021,February,"Week 2",46437008,1520895,1501697,7603
Assam,2021,February,"Week 3",47087444,1521429,1502511,7632
Assam,2021,February,"Week 4",47723950,1522353,1503408,7640
Assam,2021,January,"Week 1",42518674,1514470,1485327,7379
Assam,2021,January,"Week 2",43378668,1516516,1488005,7438
Assam,2021,January,"Week 3",43983489,1518027,1490917,7513
Assam,2021,January,"Week 4",44707029,1519080,1495727,7551
Assam,2021,January,"Week 5",19371411,651352,642356,3245
Assam,2021,July,"Week 1",107366774,3624591,3421194,32608
Assam,2021,July,"Week 2",112920133,3737738,3550359,33855
Assam,2021,July,"Week 3",119069039,3832292,3668936,34983
Assam,2021,July,"Week 4",125256738,3910196,3766643,35960
Assam,2021,July,"Week 5",55566628,1695437,1638447,15722
Assam,2021,June,"Week 1",80395300,2995694,2608012,24967
Assam,2021,June,"Week 2",86410800,3173209,2823771,27108
Assam,2021,June,"Week 3",93286988,3335723,3049257,28964
Assam,2021,June,"Week 4",100172778,3472353,3233621,30629
Assam,2021,June,"Week 5",29606130,1014489,951967,9048
Assam,2021,March,"Week 1",48326855,1523320,1504270,7653
Assam,2021,March,"Week 2",48929471,1524200,1505147,7676
Assam,2021,March,"Week 3",49524509,1525284,1506136,7697
Assam,2021,March,"Week 4",50167627,1526970,1507112,7722
Assam,2021,March,"Week 5",21655481,655085,646248,3313
Assam,2021,May,"Week 1",61602468,1880663,1661126,10103
Assam,2021,May,"Week 2",64491438,2129309,1832372,12848
Assam,2021,May,"Week 3",67839085,2389704,2032086,16445
Assam,2021,May,"Week 4",72775146,2668832,2267064,20405
Assam,2021,May,"Week 5",32842336,1221707,1048666,9910
Assam,2021,October,"Week 1",166167364,4223085,4151992,41238
Assam,2021,October,"Week 2",168123043,4236505,4167446,41502
Assam,2021,October,"Week 3",169485233,4247848,4181337,41667
Assam,2021,October,"Week 4",171465744,4262676,4193685,41839
Assam,2021,October,"Week 5",74066198,1831228,1802079,17985
Assam,2021,September,"Week 1",153933338,4141011,4055464,39852
Assam,2021,September,"Week 2",157453857,4163594,4081966,40198
Assam,2021,September,"Week 3",160430309,4183988,4107313,40549
Assam,2021,September,"Week 4",163198235,4202455,4128934,40871
Assam,2021,September,"Week 5",47079123,1203950,1183318,11741
Bihar,2020,April,"Week 1",9111,218,36,7
Bihar,2020,April,"Week 2",42987,417,143,7
Bihar,2020,April,"Week 3",70788,661,271,11
Bihar,2020,April,"Week 4",112582,1776,351,14
Bihar,2020,April,"Week 5",43852,828,148,4
Bihar,2020,August,"Week 1",4934566,438050,283833,2476
Bihar,2020,August,"Week 2",8395166,608441,399048,3221
Bihar,2020,August,"Week 3",13331630,768132,563269,3882
Bihar,2020,August,"Week 4",18161540,876963,728625,4471
Bihar,2020,August,"Week 5",9273705,404285,351951,2061
Bihar,2020,December,"Week 1",106207358,1665425,1618398,8994
Bihar,2020,December,"Week 2",112202129,1694543,1649141,9185
Bihar,2020,December,"Week 3",118090193,1721806,1677557,9396
Bihar,2020,December,"Week 4",123738029,1748757,1704178,9621
Bihar,2020,December,"Week 5",54678488,757118,738899,4179
Bihar,2020,July,"Week 1",1750215,79979,59621,608
Bihar,2020,July,"Week 2",2110344,109209,77911,840
Bihar,2020,July,"Week 3",2576694,172396,111275,1238
Bihar,2020,July,"Week 4",3113804,255203,171559,1646
Bihar,2020,July,"Week 5",1578231,144907,95827,856
Bihar,2020,June,"Week 1",619029,31318,14625,188
Bihar,2020,June,"Week 2",791000,41208,22309,238
Bihar,2020,June,"Week 3",985531,49910,34630,309
Bihar,2020,June,"Week 4",1283577,59586,45135,393
Bihar,2020,June,"Week 5",433549,19605,14918,131
Bihar,2020,March,"Week 4",0,39,0,0
Bihar,2020,March,"Week 5",0,51,0,3
Bihar,2020,May,"Week 1",193098,3619,1000,28
Bihar,2020,May,"Week 2",246565,5477,2510,42
Bihar,2020,May,"Week 3",339326,10236,3562,59
Bihar,2020,May,"Week 4",449461,19060,5485,90
Bihar,2020,May,"Week 5",221922,10731,4040,59
